iter	Passed	Remaining
0	6	3278
1	12	3230
2	15	2586
3	21	2608
4	23	2342
5	29	2419
6	32	2259
7	34	2127
8	39	2166
9	46	2295
10	52	2342
11	57	2344
12	62	2359
13	68	2362
14	72	2329
15	77	2339
16	82	2342
17	88	2360
18	93	2362
19	100	2405
20	105	2402
21	110	2399
22	115	2399
23	120	2392
24	125	2379
25	128	2338
26	133	2333
27	136	2296
28	141	2299
29	146	2295
30	151	2296
31	156	2295
32	161	2285
33	166	2277
34	171	2278
35	176	2276
36	182	2284
37	187	2283
38	192	2280
39	198	2282
40	202	2267
41	206	2250
42	211	2253
43	218	2264
44	241	2437
45	245	2425
46	250	2415
47	255	2405
48	259	2390
49	263	2372
50	266	2343
51	272	2347
52	277	2338
53	282	2335
54	286	2320
55	291	2314
56	295	2294
57	301	2295
58	304	2275
59	309	2267
60	315	2270
61	320	2266
62	326	2266
63	332	2264
64	338	2265
65	344	2264
66	349	2258
67	354	2251
68	359	2246
69	364	2238
70	370	2236
71	375	2234
72	381	2232
73	387	2231
74	392	2224
75	398	2225
76	404	2224
77	410	2223
78	419	2233
79	424	2230
80	429	2221
81	434	2214
82	439	2207
83	446	2211
84	452	2207
85	458	2206
86	463	2202
87	469	2197
88	475	2195
89	480	2190
90	485	2183
91	491	2178
92	496	2170
93	501	2166
94	507	2164
95	513	2162
96	519	2156
97	525	2153
98	530	2148
99	535	2142
100	541	2138
101	546	2133
102	553	2133
103	559	2131
104	565	2125
105	573	2130
106	579	2126
107	585	2125
108	591	2120
109	596	2115
110	601	2109
111	607	2102
112	611	2095
113	617	2089
114	620	2076
115	625	2071
116	632	2069
117	638	2065
118	643	2060
119	649	2056
120	654	2051
121	661	2049
122	667	2045
123	673	2043
124	679	2038
125	684	2031
126	689	2026
127	695	2020
128	700	2015
129	705	2008
130	711	2004
131	716	1998
132	722	1994
133	727	1988
134	733	1982
135	737	1974
136	743	1969
137	748	1964
138	755	1961
139	761	1959
140	766	1952
141	772	1948
142	778	1944
143	784	1939
144	792	1939
145	798	1936
146	804	1933
147	810	1927
148	816	1922
149	820	1914
150	826	1910
151	832	1905
152	838	1902
153	844	1897
154	850	1893
155	856	1889
156	862	1883
157	866	1875
158	872	1872
159	878	1865
160	884	1861
161	892	1861
162	898	1857
163	903	1851
164	909	1846
165	915	1842
166	921	1837
167	925	1829
168	932	1825
169	937	1819
170	942	1812
171	947	1806
172	952	1799
173	958	1795
174	963	1790
175	969	1784
176	975	1779
177	990	1792
178	998	1790
179	1001	1780
180	1006	1774
181	1012	1769
182	1017	1763
183	1023	1758
184	1028	1751
185	1036	1749
186	1042	1745
187	1050	1743
188	1056	1738
189	1063	1734
190	1069	1729
191	1075	1724
192	1081	1719
193	1086	1714
194	1093	1709
195	1099	1704
196	1104	1698
197	1109	1692
198	1117	1689
199	1122	1684
200	1128	1678
201	1134	1674
202	1140	1668
203	1146	1664
204	1152	1658
205	1156	1650
206	1161	1644
207	1167	1639
208	1177	1639
209	1182	1633
210	1189	1629
211	1195	1624
212	1200	1617
213	1206	1612
214	1212	1607
215	1218	1601
216	1223	1595
217	1228	1589
218	1238	1588
219	1245	1585
220	1252	1580
221	1257	1574
222	1265	1571
223	1271	1566
224	1277	1561
225	1283	1555
226	1287	1548
227	1293	1543
228	1299	1537
229	1305	1532
230	1310	1525
231	1316	1520
232	1322	1515
233	1327	1509
234	1332	1503
235	1338	1496
236	1344	1491
237	1351	1488
238	1358	1483
239	1363	1476
240	1370	1472
241	1379	1471
242	1386	1466
243	1392	1460
244	1397	1454
245	1404	1450
246	1410	1444
247	1415	1438
248	1420	1432
249	1426	1426
250	1431	1420
251	1436	1414
